ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LONGITUDE,LATITUDE,ALT,Dim,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10,SAT11,SAT12,PDOP,HDOP,TEMP,ACTIVITY,TIMEON
d16241y2011,2011,5,1,0,2,37,-97.26099714,34.01511198,252,3,4,10,17,20,28,0,0,0,0,0,0,0,3.8,2.8,25.75,473,37
d16241y2011,2011,5,1,0,32,41,-97.26103196,34.01510345,243,3,2,4,10,12,17,28,0,0,0,0,0,0,2.2,1.2,27.69,0,41
d16241y2011,2011,5,1,1,2,37,-97.26127654,34.01489861,238,3,2,4,9,10,12,17,27,0,0,0,0,0,2.6,1.1,25.19,631,37
d16241y2011,2011,5,1,1,32,36,-97.2614821,34.01304846,252,3,2,4,5,9,10,12,17,27,0,0,0,0,2.4,1.1,25.31,485,36
d16241y2011,2011,5,1,2,2,37,-97.26132467,34.01291007,252,3,2,4,5,9,10,12,17,25,0,0,0,0,1.7,0.9,25.44,127,37
d16241y2011,2011,5,1,2,32,37,-97.26117841,34.01296661,247,3,2,4,5,9,10,12,17,25,0,0,0,0,1.6,1,25.31,215,37
d16241y2011,2011,5,1,3,2,47,-97.2611734,34.0129467,249,3,2,4,5,10,12,25,29,0,0,0,0,0,3.2,1.7,26.69,87,47
d16241y2011,2011,5,1,3,32,36,-97.26117716,34.01297471,251,3,2,5,10,12,25,29,0,0,0,0,0,0,4.4,1.7,26.44,0,36
d16241y2011,2011,5,1,4,2,40,-97.26118159,34.01297026,253,3,2,5,10,12,21,25,26,29,0,0,0,0,1.8,0.9,26,0,40
d16241y2011,2011,5,1,4,32,37,-97.26099785,34.01290004,264,3,2,5,12,15,21,25,26,29,0,0,0,0,2.4,1,20.25,298,37
d16241y2011,2011,5,1,5,2,41,-97.26099974,34.01296679,254,3,15,21,25,26,29,0,0,0,0,0,0,0,3.4,1.7,18.19,229,41
d16241y2011,2011,5,1,5,32,40,-97.26118792,34.01324358,249,3,5,15,21,25,26,29,0,0,0,0,0,0,2.4,1.1,16.81,490,40
d16241y2011,2011,5,1,6,34,2,-97.26196158,34.01337805,248,2,15,21,26,29,0,0,0,0,0,0,0,0,0,1.7,16.69,285,120
d16241y2011,2011,5,1,7,2,53,-97.26262464,34.01266965,239,3,15,21,26,29,0,0,0,0,0,0,0,0,4.1,2.4,17.13,844,53
d16241y2011,2011,5,1,7,33,8,-97.26256642,34.0126571,248,3,15,21,22,29,0,0,0,0,0,0,0,0,4.8,2.1,18.13,442,68
d16241y2011,2011,5,1,8,2,41,-97.26245502,34.01254461,252,3,15,21,22,29,0,0,0,0,0,0,0,0,2.9,1.6,17.19,558,41
d16241y2011,2011,5,1,8,33,4,-97.26254525,34.01258015,243,3,9,14,15,21,22,27,0,0,0,0,0,0,3.3,1.3,19.38,153,64
d16241y2011,2011,5,1,9,2,37,-97.26251967,34.01261316,243,3,6,9,14,19,21,22,27,0,0,0,0,0,3,1.3,19.88,0,37
d16241y2011,2011,5,1,9,32,41,-97.26251692,34.01264197,247,3,9,14,19,21,22,0,0,0,0,0,0,0,2.7,1.3,19.31,32,41
d16241y2011,2011,5,1,10,2,37,-97.26257716,34.01255536,247,3,6,9,14,19,22,0,0,0,0,0,0,0,2.8,2.2,18.63,243,37
d16241y2011,2011,5,1,10,32,40,-97.26262365,34.01271832,243,3,6,9,11,14,21,22,31,0,0,0,0,0,1.6,1,17.5,553,40
d16241y2011,2011,5,1,11,2,53,-97.26148795,34.01329291,246,3,12,14,19,22,31,0,0,0,0,0,0,0,2,1.5,17.5,434,53
d16241y2011,2011,5,1,11,32,40,-97.26058968,34.01273826,245,3,11,12,14,22,24,31,32,0,0,0,0,0,2.5,1.4,17.69,660,40
d16241y2011,2011,5,1,12,2,41,-97.26117016,34.01278705,244,3,11,14,22,24,25,31,32,0,0,0,0,0,2.8,1.5,18.44,162,41
d16241y2011,2011,5,1,12,32,37,-97.2619797,34.01355144,248,3,11,14,24,31,32,0,0,0,0,0,0,0,3.6,2.3,18.19,186,37
d16241y2011,2011,5,1,13,2,41,-97.26193523,34.01355532,247,3,20,24,25,30,31,32,0,0,0,0,0,0,2.2,1.1,21.06,0,41
d16241y2011,2011,5,1,13,32,52,-97.26201029,34.01364475,239,3,11,20,23,24,30,32,0,0,0,0,0,0,3.9,2.3,22.25,0,52
d16241y2011,2011,5,1,14,2,43,-97.26446377,34.01371007,237,3,20,23,30,31,32,0,0,0,0,0,0,0,4.3,2,17.25,730,43
d16241y2011,2011,5,1,14,32,43,-97.26469171,34.0129919,248,3,16,20,24,30,31,32,0,0,0,0,0,0,2.3,1.5,16.44,1158,43
d16241y2011,2011,5,1,15,2,41,-97.26419041,34.01325534,257,3,16,20,23,30,31,32,0,0,0,0,0,0,4.1,1.7,15.44,1008,41
d16241y2011,2011,5,1,15,32,38,-97.26258333,34.01294319,242,3,16,20,23,30,31,32,0,0,0,0,0,0,3,1.8,15.75,735,38
d16241y2011,2011,5,1,16,2,37,-97.26249635,34.01258848,249,3,3,6,7,16,20,23,30,32,0,0,0,0,2.2,1,16.5,367,37
d16241y2011,2011,5,1,16,32,40,-97.26256301,34.01261197,238,3,3,6,10,16,20,23,30,32,0,0,0,0,2,1,19.5,0,40
d16241y2011,2011,5,1,17,2,40,-97.2585583,34.01416851,243,3,3,6,7,13,16,23,0,0,0,0,0,0,3.7,1.9,16.19,504,40
d16241y2011,2011,5,1,17,32,42,-97.25771647,34.01434956,249,3,3,6,7,13,23,0,0,0,0,0,0,0,4.9,2,16.5,657,42
d16241y2011,2011,5,1,18,2,44,-97.25916379,34.01368294,259,3,3,6,7,13,23,0,0,0,0,0,0,0,4.6,1.7,17.81,474,44
d16241y2011,2011,5,1,18,32,47,-97.25938531,34.01418293,242,3,7,10,13,23,0,0,0,0,0,0,0,0,4.1,2.7,20.25,187,47
